hp laptop not giving better performance compare to dell	
stellargirl I loooooooovvvvvveee my Kindle Not that the DX is cool but the  is fantastic in its own right	😍
Reading my kindle Love it Lee childs is good read	😍
Ok first assesment of the kindle it fucking rocks	😍
kenburbary Youll love your Kindle Ive had mine for a few months and never looked back The new big one is huge No need for remorse 	😍
mikefish Fair enough But i have the Kindle and I think its perfect 	😍
richardebaker no it is too big Im quite happy with the Kindle	😍
Fuck this economy I hate aig and their non loan given asses	😭
Jquery is my new best friend	😍
Loves twitter	😍
how can you not love Obama he makes jokes about himself	😍
Check this video out  President Obama at the White House Correspondents Dinner	😜
Karoli I firmly believe that ObamaPelosi have ZERO desire to be civil Its a charade and a slogan but they want to destroy conservatism	😭
House Correspondents dinner was last night whoopi barbara amp sherri went Obama got a standing ovation	😍
Watchin EspnJus seen this new Nike Commerical with a Puppet Lebronsht was hilariousLMAO	😍
dear nike stop with the flywire that shit is a waste of science and ugly love vincentxx	😭
lebron best athlete of our generation if not all time basketball related I dont want to get into intersport debates about 	😍
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan He also told me that he hates LeBron James	😭
i love lebron	😍
ludajuice Lebron is a Beast but Im still cheering  the Atil the end	😭
Pmillzz lebron IS THE BOSS	😍
sketchbug Lebron is a hometown hero to me lol I love the Lakers but lets go Cavs lol	😍
lebron and zydrunas are such an awesome duo	😍
wordwhizkid Lebron is a beast nobody in the NBA comes even close	😍
downloading apps for my iphone So much fun  There literally is an app for just about anything	😍
good news just had a call from the Visa office saying everything is finewhat a relief I am sick of scams out there Stealing	😍
 awesome come back from biz via fredwilson	😍
In montreal for a long weekend of RampR Much needed	😍
Booz Allen Hamilton has a bad ass homegrown social collaboration platform Way cool ttiv	😍
MLUC Customer Innovation Award Winner Booz Allen Hamilton 	😍
SoChi I current use the Nikon D and love it but not as much as the Canon DD I chose the D for the video feature My mistake	😍
need suggestions for a good IR filter for my canon D  got some pls DM	😜
surfit I just checked my google for my business blip shows up as the second entry Huh Is that a good or ba 	😜
phyreman Google is always a good place to look Shouldve mentioned I worked on the Mustang w my Dad KimbleT	😍
Played with an android google phone The slide out screen scares me I would break that fucker so fast Still prefer my iPhone	😭
US planning to resume the military tribunals at Guantanamo Bay only this time those on trial will be AIG execs and Chrysler debt holders	😭
omg so bored amp my tattoooos are so itchy help aha 	😭
Im itchy and miserable	😭
sekseemess no Im not itchy for now Maybe later lol	😭
RT jessverr I love the nerdy Stanford human biology videos  makes me miss school	😍
spinuzzi Has been a bit crazy with steep learning curve but LyX is really good for long docs For anything shorter it would be insane	😍
Im listening to PYT by Danny Gokey lt lt lt Aww hes so amazing I lt him so much 	😍
is going to sleep then on a bike ride	😍
cant sleep my tooth is aching	😭
Blah blah blah same old same old No plans today going back to sleep I guess	😭
glad i didnt do Bay to Breakers today its  freaking degrees in San Francisco wtf	😭
is in San Francisco at Bay to Breakers	😜
just landed at San Francisco	😜
San Francisco today Any suggestions	😜
Obama Administration Must Stop Bonuses to AIG Ponzi Schemers 	😭
started to think that Citi is in really deep sampt Are they gonna survive the turmoil or are they gonna be the next AIG	😭
ShaunWoo haten on AiG	😭
YarnThing you will not regret going to see Star Trek It was AWESOME	😍
On my way to see Star Trek  The Esquire	😜
Going to see star trek soon with my dad	😜
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that	😭
Bill Simmons in conversation with Malcolm Gladwell	😜
Highly recommend by Malcolm Gladwell	😍
Blink by malcolm gladwell amazing book and The tipping point	😍
Malcolm Gladwell might be my new man crush	😍
omg The commercials alone on ESPN are going to drive me nuts	😭
robmalon Playing with Twitter API sounds fun May need to take a class or find a new friend who like to generate results with API code	😍
playing with cURL and the Twitter API	😜
Hello Twitter API 	😍
playing with Java and the Twitter API	😜
morind Because the twitter api is slow and most clients arent good	😭
yahoo answers can be a butt sometimes	😭
is scrapbooking with Nic D	😍
RT mashable Five Things Wolfram Alpha Does Better And Vastly Different Than Google 	😍
just changed my default pic to a Nike basketball cause bball is awesome	😍
Nike owns NBA Playoffs ads w LeBron Kobe Carmelo Adidas Billups Howard Marketing Branding	😜
Next time Ill call myself Nike	😜
New blog post Nike SB Dunk Low Premium White Gum	😜
RT SmartChickPDX Was just told that Nike layoffs started today 	😭
Back when I worked for Nike we had one fav word  JUST DO IT 	😍
By the way Im totally inspired by this freaky Nike commercial	😍
giving weka an app engine interface using the bird strike data for the tests the logo is a given	😜
Brand New Canon EOS D MP DSLR Camera Canon mm IS Lens  Web Technology Thread Brand New Canon EOS 	😜
Class The d is supposed to come today 	😍
needs someone to explain lambda calculus to him 	😭
Took the Graduate Field Exam for Computer Science today Nothing makes you feel like more of an idiot than lambda calculus	😭
	😍
	😭
	😜 
